driver_id,driver_name,sales_organization_id,scheduled_daily_hours,regular_hourly_rate,overtime_hourly_rate,active_flag
DRV00001,Driver 00001,SO0001,8.0,30.05,43.56,True
DRV00002,Driver 00002,SO0001,8.0,25.13,40.74,True
DRV00003,Driver 00003,SO0001,8.0,34.43,37.02,True
DRV00004,Driver 00004,SO0001,8.0,31.86,41.88,True
DRV00005,Driver 00005,SO0002,8.0,24.79,44.85,True
DRV00006,Driver 00006,SO0002,8.0,29.19,52.05,True
DRV00007,Driver 00007,SO0002,8.0,29.34,50.02,True
DRV00008,Driver 00008,SO0002,8.0,30.01,37.05,True
DRV00009,Driver 00009,SO0003,8.0,24.91,44.57,True
DRV00010,Driver 00010,SO0003,8.0,24.16,48.91,True
DRV00011,Driver 00011,SO0003,8.0,25.76,35.93,True
DRV00012,Driver 00012,SO0003,8.0,25.85,53.02,True
DRV00013,Driver 00013,SO0004,8.0,34.97,36.88,True
DRV00014,Driver 00014,SO0004,8.0,28.48,44.29,True
DRV00015,Driver 00015,SO0004,8.0,26.36,41.81,True
DRV00016,Driver 00016,SO0004,8.0,30.31,48.18,True
DRV00017,Driver 00017,SO0005,8.0,32.33,47.6,True
DRV00018,Driver 00018,SO0005,8.0,23.82,41.86,True
DRV00019,Driver 00019,SO0005,8.0,33.16,39.74,True
DRV00020,Driver 00020,SO0005,8.0,23.04,39.47,True
DRV00021,Driver 00021,SO0006,8.0,28.06,35.71,True
DRV00022,Driver 00022,SO0006,8.0,31.99,40.82,True
DRV00023,Driver 00023,SO0006,8.0,33.88,53.36,True
DRV00024,Driver 00024,SO0006,8.0,26.79,50.02,True
DRV00025,Driver 00025,SO0007,8.0,27.6,38.57,True
DRV00026,Driver 00026,SO0007,8.0,31.73,51.04,True
DRV00027,Driver 00027,SO0007,8.0,34.57,51.94,True
DRV00028,Driver 00028,SO0007,8.0,27.52,36.16,True
DRV00029,Driver 00029,SO0008,8.0,35.84,39.65,True
DRV00030,Driver 00030,SO0008,8.0,29.6,37.34,True
DRV00031,Driver 00031,SO0008,8.0,30.44,53.98,True
DRV00032,Driver 00032,SO0008,8.0,28.43,50.34,True
DRV00033,Driver 00033,SO0009,8.0,23.04,39.48,True
DRV00034,Driver 00034,SO0009,8.0,30.22,35.14,True
DRV00035,Driver 00035,SO0009,8.0,27.03,48.61,True
DRV00036,Driver 00036,SO0009,8.0,33.89,45.35,True
DRV00037,Driver 00037,SO0010,8.0,29.4,45.64,True
DRV00038,Driver 00038,SO0010,8.0,31.76,48.48,True
DRV00039,Driver 00039,SO0010,8.0,24.0,39.16,True
DRV00040,Driver 00040,SO0010,8.0,23.25,37.12,True
DRV00041,Driver 00041,SO0011,8.0,26.32,44.91,True
DRV00042,Driver 00042,SO0011,8.0,32.92,40.86,True
DRV00043,Driver 00043,SO0011,8.0,31.88,52.74,True
DRV00044,Driver 00044,SO0011,8.0,28.15,52.1,True
DRV00045,Driver 00045,SO0012,8.0,30.6,38.99,True
DRV00046,Driver 00046,SO0012,8.0,29.59,35.44,True
DRV00047,Driver 00047,SO0012,8.0,29.13,36.59,True
DRV00048,Driver 00048,SO0012,8.0,26.43,46.71,True
DRV00049,Driver 00049,SO0013,8.0,30.94,35.07,True
DRV00050,Driver 00050,SO0013,8.0,26.0,52.34,True
DRV00051,Driver 00051,SO0013,8.0,35.86,46.76,True
